continent,extant_mean,extinct_mean,difference,ratio
AF,22208.23,970038.46,947830.23,43.68
AUS,16918.33,188355.56,171437.23,11.13
Insular,7757.17,81912.13,74154.96,10.56
NA,9968.12,735076.1,725107.98,73.74
SA,3864.7,973072.4,969207.7,251.78
